PdDistrict,Date,IncidntNum
SOUTHERN,08/29/2016,74
SOUTHERN,04/08/2016,65
RICHMOND,10/31/2016,17
RICHMOND,02/20/2016,24
RICHMOND,08/11/2016,19
BAYVIEW,05/15/2016,31
SOUTHERN,06/19/2016,55
CENTRAL,03/03/2016,67
BAYVIEW,02/24/2016,34
NORTHERN,07/26/2016,58
TENDERLOIN,02/14/2016,20
CENTRAL,12/30/2016,58
RICHMOND,03/27/2016,18
SOUTHERN,11/01/2016,80
PARK,08/30/2016,18
TENDERLOIN,06/28/2016,37
TARAVAL,09/15/2016,32
SOUTHERN,01/11/2016,56
MISSION,11/29/2016,64
INGLESIDE,03/05/2016,41
TARAVAL,12/06/2016,36
CENTRAL,09/05/2016,40
RICHMOND,10/14/2016,26
TENDERLOIN,09/08/2016,22
TENDERLOIN,12/07/2016,17
CENTRAL,05/31/2016,55
PARK,02/24/2016,28
MISSION,01/24/2016,44
BAYVIEW,08/30/2016,37
PARK,12/24/2016,18
RICHMOND,01/02/2016,23
SOUTHERN,03/22/2016,84
PARK,03/28/2016,29
RICHMOND,12/02/2016,43
TARAVAL,04/02/2016,35
RICHMOND,02/04/2016,25
INGLESIDE,09/11/2016,31
INGLESIDE,05/26/2016,20
TENDERLOIN,10/19/2016,42
BAYVIEW,03/28/2016,25
SOUTHERN,05/14/2016,90
MISSION,08/05/2016,55
SOUTHERN,01/06/2016,59
SOUTHERN,01/01/2016,75
SOUTHERN,10/29/2016,76
BAYVIEW,12/24/2016,22
MISSION,10/28/2016,71
TARAVAL,07/30/2016,27
MISSION,08/23/2016,54
TENDERLOIN,11/10/2016,16
TARAVAL,04/20/2016,22
INGLESIDE,07/12/2016,20
MISSION,02/05/2016,40
PARK,10/13/2016,30
MISSION,08/18/2016,46
BAYVIEW,11/24/2016,35
NORTHERN,03/26/2016,65
PARK,06/23/2016,16
SOUTHERN,05/06/2016,101
BAYVIEW,03/14/2016,44
TARAVAL,06/22/2016,25
BAYVIEW,06/14/2016,40
TARAVAL,12/20/2016,37
NORTHERN,04/21/2016,62
PARK,06/14/2016,11
TARAVAL,11/27/2016,51
INGLESIDE,11/19/2016,31
RICHMOND,08/06/2016,48
TENDERLOIN,07/02/2016,22
PARK,11/24/2016,19
BAYVIEW,10/13/2016,35
TENDERLOIN,01/03/2016,23
SOUTHERN,10/02/2016,58
NORTHERN,09/10/2016,50
PARK,03/14/2016,39
BAYVIEW,06/23/2016,35
NORTHERN,04/26/2016,40
CENTRAL,10/23/2016,42
MISSION,01/27/2016,62
NORTHERN,08/22/2016,49
TENDERLOIN,10/08/2016,40
MISSION,05/24/2016,62
NORTHERN,02/12/2016,69
NORTHERN,03/06/2016,49
CENTRAL,10/11/2016,47
TENDERLOIN,01/30/2016,24
INGLESIDE,11/21/2016,38
TENDERLOIN,02/07/2016,44
